POPULATION,POP_CODE,GENO,SP,LAT,LON,ELEV,STATE,NEW_CODE,BEAVER,TAM,ELEVWC,Prec,precwetmo,precdrymo,precCoV,precwetqtr,precdryqtr,precwarmqtr,preccoldqtr,MAT,MDR,MAXT,MINT,CART,MWET,MDRY,MWAR,MCOL
BeaverCreekSedona,BC,BC10ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC10ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC11ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC11ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC11SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC12ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC12ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC12SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC13ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC13ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC13SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC14ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC14ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC14SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC15ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC15ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC15SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC1ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC1ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC1JUG,JUMA,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC1MAP,ACNE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC2ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC2ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC2SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC3ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC3ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC4ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC4ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC5ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC5ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC6ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC6ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC6ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC7ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC7ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC7SYC,PLWR,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC8ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC8ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC9ALD,ALOB,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC9ASH,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BC,BC9MESQ,PROS,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE197,SAGO,34.66905,-111.7135,1164,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE198,SAGO,34.66893,-111.71364,1180,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE199,SAGO,34.66897,-111.71396,1140,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE200,POFR,34.66823,-111.71709,1140,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE210,,34.66823,-111.71709,1140,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE429,,34.66823,-111.71709,1140,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE474,,34.66823,-111.71709,1140,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE477,,34.66823,-111.71709,1140,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE478,FRVE,34.66851,-111.71462,1159,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE479,POFR,34.66857,-111.71441,1158,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE480,SAGO,34.66867,-111.7144,1158,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE481,FRVE,34.66844,-111.7146,1163,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE482,FRVE,34.66789,-111.71503,1147,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE483,FRVE,34.6675,-111.71547,1143,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE484,FRVE,34.66688,-111.71613,1127,AZ,BSZ-BCS,,,1168,421,57,8,38,146,44,111,114,16,17.7,36.3,-1.7,38,25.2,19.2,25.8,6.9
BeaverCreekSedona,BCSE,BCSE485,FRVE,34.66667,-111.71821,1149,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE486,SAGO,34.66662,-111.71832,1147,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE487,POFR,34.66655,-111.71834,1135,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE488,SAGO,34.66648,-111.71834,1140,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE489,FRVE,34.66642,-111.7184,1149,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE490,FRVE,34.66497,-111.71872,1134,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE491,FRVE,34.66488,-111.71873,1135,AZ,BSZ-BCS,,,1144,414,57,8,39,145,43,110,111,16.1,17.9,36.5,-1.7,38.2,25.3,19.3,25.9,7
BeaverCreekSedona,BCSE,BCSE492,SAGO,34.66698,-111.7181,1142,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE493,POFR,34.66682,-111.71834,1141,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE494,SAGO,34.66668,-111.71834,1143,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE495,POFR,34.66685,-111.71822,1135,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE496,POFR,34.66695,-111.71803,1156,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE497,SAGO,34.66725,-111.71796,1112,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE498,POFR,34.66747,-111.71786,1132,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE499,POFR,34.66802,-111.7174,1132,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BeaverCreekSedona,BCSE,BCSE500,POFR,34.66792,-111.71735,1132,AZ,BSZ-BCS,,,1214,439,59,8,38,151,46,115,120,15.7,17.5,36,-1.7,37.7,25,18.8,25.5,6.7
BlueDiamond,BD,BD10,POFR,36.05911,-115.43111,1077,NV,BBH-DIA,,,1094,156,21,4,35,51,21,41,47,16,15.2,36.4,-1.3,37.7,7.7,19.4,26.6,6.1
BlueDiamond,BD,BD3,POFR,36.05911,-115.43111,1077,NV,BBH-DIA,,,1094,156,21,4,35,51,21,41,47,16,15.2,36.4,-1.3,37.7,7.7,19.4,26.6,6.1
BlueDiamond,BD,BD493,POFR,36.05911,-115.43111,1077,NV,BBH-DIA,,,1094,156,21,4,35,51,21,41,47,16,15.2,36.4,-1.3,37.7,7.7,19.4,26.6,6.1
BlueDiamond,BD,BD6,POFR,36.05911,-115.43111,1077,NV,BBH-DIA,,,1094,156,21,4,35,51,21,41,47,16,15.2,36.4,-1.3,37.7,7.7,19.4,26.6,6.1
BeaselyFlatsVerde,BFV,BFV459,TARA,34.47365,-111.80118,903,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV460,SAEX,34.47368,-111.80118,904,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV461,SAEX,34.47379,-111.80124,902,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV462,SAEX,34.47395,-111.80119,897,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV463,TARA,34.47407,-111.80113,893,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV464,SAEX,34.47482,-111.80113,899,AZ,CVA-BFV,,,921,400,56,8,41,141,37,108,115,17.2,19.1,38.2,-0.9,39.1,26.6,20.1,27,8.2
BeaselyFlatsVerde,BFV,BFV465,SAEX,34.47582,-111.80103,895,AZ,CVA-BFV,,,909,397,56,7,41,140,36,106,114,17.2,19.2,38.4,-0.9,39.3,26.6,20.3,27.1,8.2
BeaselyFlatsVerde,BFV,BFV466,TARA,34.47607,-111.80101,890,AZ,CVA-BFV,,,909,397,56,7,41,140,36,106,114,17.2,19.2,38.4,-0.9,39.3,26.6,20.3,27.1,8.2
BeaselyFlatsVerde,BFV,BFV467,SAEX,34.47849,-111.80039,887,AZ,CVA-BFV,,,909,397,56,7,41,140,36,106,114,17.2,19.2,38.4,-0.9,39.3,26.6,20.3,27.1,8.2
BeaselyFlatsVerde,BFV,BFV468,SAEX,34.47889,-111.80026,896,AZ,CVA-BFV,,,909,397,56,7,41,140,36,106,114,17.2,19.2,38.4,-0.9,39.3,26.6,20.3,27.1,8.2
BeaselyFlatsVerde,BFV,BFV469,TARA,34.47926,-111.80025,897,AZ,CVA-BFV,,,909,397,56,7,41,140,36,106,114,17.2,19.2,38.4,-0.9,39.3,26.6,20.3,27.1,8.2
BeaselyFlatsVerde,BFV,BFV470,SAEX,34.48062,-111.79987,856,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV471,TARA,34.48056,-111.79976,892,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV472,TARA,34.48083,-111.79966,895,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV473,TARA,34.48103,-111.79959,896,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV474,TARA,34.48133,-111.79955,894,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV475,SAEX,34.4814,-111.7995,901,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV476,TARA,34.48148,-111.7994,907,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BeaselyFlatsVerde,BFV,BFV477,TARA,34.48227,-111.79923,899,AZ,CVA-BFV,,,960,407,57,8,41,144,38,110,116,16.9,19,38,-1.2,39.2,26.3,20,26.8,7.9
BillWilliamRiverParker,BWPA,BWPA160,TARA,34.27514,-114.0587,142,AZ,LBW-BIL,,Y,144,134,18,1,46,47,8,29,47,22.6,16.1,42.4,4.2,38.2,14.3,26.1,32.9,12.4
BillWilliamRiverParker,BWPA,BWPA161,POFR,34.27523,-114.05868,135,AZ,LBW-BIL,,Y,144,134,18,1,46,47,8,29,47,22.6,16.1,42.4,4.2,38.2,14.3,26.1,32.9,12.4
BillWilliamRiverParker,BWPA,BWPA162,TARA,34.27224,-114.05314,137,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA163,POFR,34.27272,-114.05305,184,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA164,TARA,34.27243,-114.05299,139,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA165,POFR,34.2726,-114.05283,124,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA166,TARA,34.27212,-114.05251,152,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA167,POFR,34.27195,-114.05242,160,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA168,TARA,34.27121,-114.05026,151,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA169,POFR,34.27169,-114.05173,146,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA170,TARA,34.27179,-114.0518,128,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA171,POFR,34.27187,-114.05185,160,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA172,POFR,34.27206,-114.05231,133,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA173,TARA,34.27268,-114.05349,143,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA174,POFR,34.27273,-114.05344,145,AZ,LBW-BIL,,Y,150,134,18,1,46,47,8,29,47,22.5,16.2,42.3,4.1,38.2,14.2,25.9,32.8,12.4
BillWilliamRiverParker,BWPA,BWPA175,POFR,34.27608,-114.05847,142,AZ,LBW-BIL,,Y,144,134,18,1,46,47,8,29,47,22.6,16.1,42.4,4.2,38.2,14.3,26.1,32.9,12.4
BillWilliamRiverParker,BWPA,BWPA176,TARA,34.27606,-114.05851,143,AZ,LBW-BIL,,Y,144,134,18,1,46,47,8,29,47,22.6,16.1,42.4,4.2,38.2,14.3,26.1,32.9,12.4
BillWilliamRiverParker,BWPA,BWPA177,TARA,34.27505,-114.05859,143,AZ,LBW-BIL,,Y,144,134,18,1,46,47,8,29,47,22.6,16.1,42.4,4.2,38.2,14.3,26.1,32.9,12.4
CalfCreek,CALF,CAL105,POFR,37.794,-111.414,1624,UT,CEW-CAF,,,1649,197,30,8,33,73,34,60,41,11.1,15.6,32.9,-8.3,41.2,21.7,15.3,22.5,-0.1
CalfCreek,CALF,CALF101,POFR,37.794,-111.414,1624,UT,CEW-CAF,,,1649,197,30,8,33,73,34,60,41,11.1,15.6,32.9,-8.3,41.2,21.7,15.3,22.5,-0.1
